"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
"Chir07Ox-b35240.2",8.2110505708937e-42,0.963723270267682,0.601,0.18,1.62357102938281e-37,"Chir07Ox-b35240.2"
"Chir01Ox-b14900.2",1.35363026322674e-24,0.486670889688696,0.451,0.135,2.67653311947823e-20,"Chir01Ox-b14900.2"
"Chir06Ox-b14320.2",2.93794311186903e-19,0.360163739103682,0.445,0.177,5.80919491509863e-15,"Chir06Ox-b14320.2"
"Chir01Ox-b19910.2",5.64789884677361e-12,0.17765619775319,0.32,0.13,1.11675903897255e-07,"Chir01Ox-b19910.2"
"Chir07Ox-b35010.2",2.89662739711176e-10,0.147484096847661,0.134,0.014,5.72750135230909e-06,"Chir07Ox-b35010.2"
"Chir08Ox-b22580.2",7.88658521362769e-09,0.133771803547412,0.208,0.07,0.00015594144942906,"Chir08Ox-b22580.2"
"Chir03Ox-b19030.2",1.93975451971523e-07,0.119936550263451,0.161,0.048,0.00383547661183293,"Chir03Ox-b19030.2"
"Chir07Ox-b21340.2",3.42932556913248e-07,0.163605700551091,0.266,0.132,0.00678080544784566,"Chir07Ox-b21340.2"
"Chir06Ox-b10180.2",3.39600820168098e-06,0.163215260794748,0.225,0.11,0.067149270171838,"Chir06Ox-b10180.2"
"Chir01Ox-b13690.2",3.58345215118951e-06,0.214819136259703,0.097,0.02,0.0708555993854703,"Chir01Ox-b13690.2"
"Chir01Ox-b35290.2",3.63694715542735e-06,0.161476398951016,0.227,0.113,0.071913356104265,"Chir01Ox-b35290.2"
"Chir04Ox-b12980.2",1.17747351844973e-05,0.100333390514095,0.154,0.062,0.232821838803065,"Chir04Ox-b12980.2"
"Chir06Ox-b35870.2",0.000202707230398775,0.0724103998537706,0.134,0.059,1,"Chir06Ox-b35870.2"
"Chir06Ox-b17160.2",0.000706056617202194,0.530190821455288,0.131,0.065,1,"Chir06Ox-b17160.2"
