"gene_ID","avg_log2FC","pct.1","pct.2","rank","source","TFs"
"Chir07Ox-b11460.2",1.11849679012815,0.662,0.049,1,"DEGs","No"
"Chir07Ox-b21320.2",1.05811094386547,0.812,0.06,2,"GEP_8 and DEGs","No"
"Chir02Ox-b02110.2",1.05655906663408,0.768,0.064,3,"DEGs","Yes"
"Chir08Ox-b28070.2",0.583842077550061,0.513,0.071,4,"GEP_8 and DEGs","No"
"Chir05Ox-b17110.2",1.49380578253203,0.8495,0.0735,5,"DEGs","No"
"Chir05Ox-b17060.2",1.35740615176408,0.8025,0.082,6,"DEGs","No"
"Chir05Ox-b16570.2",2.63393415625838,0.9365,0.0825,7,"DEGs","No"
"Chir04Ox-b02430.2",0.801902073283902,0.6,0.084,8,"GEP_8 and DEGs","No"
"Chir02Ox-b02100.2",1.82012722919237,0.858,0.0865,9,"DEGs","No"
"Chir03Ox-b16050.2",0.709929332577789,0.6555,0.0885,10,"DEGs","Yes"
"Chir06Ox-b05150.2",1.81428048929721,0.9165,0.0895,11,"DEGs","No"
"Chir07Ox-b06540.2",1.8442269397126,0.7795,0.0895,12,"DEGs","No"
"Chir04Ox-b24880.2",2.15757843562534,0.9255,0.095,13,"DEGs","No"
"Chir03Ox-b01230.2",2.61412444358371,0.94,0.1045,14,"DEGs","No"
"Chir03Ox-b01760.2",2.07052695045786,0.721,0.1115,15,"DEGs","No"
"Chir06Ox-b14540.2",1.01856753743607,0.759,0.124,16,"GEP_8 and DEGs","No"
"Chir01Ox-b29930.2",2.79951694703264,0.982,0.133,17,"GEP_8 and DEGs","No"
"Chir08Ox-b00690.2",0.319755246745547,0.5225,0.153,18,"DEGs","Yes"
"Chir01Ox-b30050.2",1.26527116450768,0.902,0.158,19,"GEP_8 and DEGs","No"
"Chir01Ox-b03800.2",1.84804043027494,0.949,0.163,20,"GEP_8 and DEGs","No"
"Chir06Ox-b00350.2",2.29802708978149,0.92,0.17,21,"GEP_8 and DEGs","No"
"Chir04Ox-b20110.2",0.722990349850601,0.651,0.172,22,"GEP_8 and DEGs","No"
"Chir06Ox-b27720.2",0.284645776486246,0.6155,0.1925,23,"DEGs","Yes"
"Chir07Ox-b01770.2",0.687353872866722,0.785,0.202,24,"GEP_8 and DEGs","No"
"Chir07Ox-b20760.2",0.327257127678792,0.657,0.286,25,"DEGs","Yes"
"Chir01Ox-b38410.2",0.521630841447844,0.93,0.5945,26,"DEGs","Yes"
