"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
0,0.255793447214848,0.117,0.005,0,"Chir07Ox-b26040.2"
0,0.286571728331814,0.121,0.005,0,"Chir08Ox-b10200.2"
0,0.539391733553843,0.126,0.006,0,"Chir03Ox-b27170.2"
0,0.477319291010184,0.164,0.006,0,"Chir07Ox-b20670.2"
0,0.4147153731197,0.138,0.008,0,"Chir01Ox-b22180.2"
0,0.652373895391469,0.183,0.009,0,"Chir03Ox-b20470.2"
0,0.258028878537863,0.13,0.009,0,"Chir08Ox-b09580.2"
0,0.353921050634351,0.216,0.009,0,"Chir08Ox-b19940.2"
0,0.342764832441454,0.137,0.01,0,"Chir06Ox-b17500.2"
0,0.29893827004046,0.252,0.011,0,"Chir02Ox-b14850.2"
0,0.251927283418972,0.233,0.011,0,"Chir03Ox-b10390.2"
0,0.346519154124119,0.203,0.011,0,"Chir03Ox-b33300.2"
0,0.362002022035164,0.202,0.011,0,"Chir04Ox-b04670.2"
0,0.888689142751872,0.171,0.011,0,"Chir04Ox-b12750.2"
0,0.308335180013081,0.171,0.011,0,"Chir06Ox-b37840.2"
0,0.675120078357304,0.209,0.011,0,"Chir07Ox-b05960.2"
0,0.338704545298298,0.178,0.011,0,"Chir07Ox-b10880.2"
0,0.568642586704729,0.186,0.011,0,"Chir07Ox-b36920.2"
0,0.265967807777229,0.201,0.012,0,"Chir02Ox-b07060.2"
0,1.57495431522603,0.146,0.012,0,"Chir03Ox-b16200.2"
0,0.265220531680747,0.235,0.012,0,"Chir04Ox-b10250.2"
0,0.306329466586584,0.218,0.013,0,"Chir01Ox-b21990.2"
0,0.359380519198937,0.26,0.014,0,"Chir01Ox-b15920.2"
0,0.369120562532812,0.105,0.014,0,"Chir02Ox-b02240.2"
0,0.655460004301936,0.297,0.014,0,"Chir03Ox-b32650.2"
0,0.501389597175482,0.267,0.015,0,"Chir03Ox-b29270.2"
0,0.915430041830376,0.162,0.015,0,"Chir04Ox-b12770.2"
0,0.38012979187075,0.257,0.015,0,"Chir05Ox-b02670.2"
0,0.285742352608624,0.201,0.015,0,"Chir07Ox-b02900.2"
