"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
"Chir08Ox-b06010.2",2.24174997284424e-154,0.560889177518165,0.256,0.01,4.43261222130491e-150,"Chir08Ox-b06010.2"
"Chir05Ox-b21290.2",2.44153747843521e-146,1.00516513869282,0.28,0.013,4.82765205610993e-142,"Chir05Ox-b21290.2"
"Chir01Ox-b02210.2",6.23677341033257e-30,0.293062347802982,0.136,0.014,1.23319720642506e-25,"Chir01Ox-b02210.2"
"Chir05Ox-b09520.2",2.14210776017872e-149,0.703860604937533,0.336,0.018,4.23558967420139e-145,"Chir05Ox-b09520.2"
"Chir04Ox-b11110.2",1.20378111462767e-15,0.300044109302714,0.112,0.018,2.38023639795328e-11,"Chir04Ox-b11110.2"
"Chir08Ox-b13710.2",4.13325277289028e-24,0.307678805013126,0.144,0.019,8.17268070783596e-20,"Chir08Ox-b13710.2"
"Chir06Ox-b31640.2",1.95153580805468e-12,0.462299511012511,0.104,0.019,3.85877175326652e-08,"Chir06Ox-b31640.2"
"Chir05Ox-b14600.2",1.99396628440368e-57,0.39101257415757,0.224,0.02,3.9426695341514e-53,"Chir05Ox-b14600.2"
"Chir01Ox-b05960.2",8.09684423818281e-46,0.471132895092269,0.2,0.02,1.60098901121589e-41,"Chir01Ox-b05960.2"
"Chir06Ox-b16730.2",1.06472189495275e-12,0.340549901061843,0.112,0.021,2.10527460289007e-08,"Chir06Ox-b16730.2"
"Chir02Ox-b19530.2",2.83114506828774e-42,0.781221781947006,0.2,0.022,5.59802314352534e-38,"Chir02Ox-b19530.2"
"Chir03Ox-b02410.2",5.67524777182704e-11,0.499520799156545,0.112,0.023,1.12216674192336e-06,"Chir03Ox-b02410.2"
"Chir02Ox-b08960.2",3.13263081041496e-82,0.580230718854339,0.288,0.024,6.19415090143349e-78,"Chir02Ox-b08960.2"
"Chir03Ox-b22360.2",2.27552703060853e-52,0.455279761116769,0.232,0.024,4.49939959762224e-48,"Chir03Ox-b22360.2"
"Chir07Ox-b03200.2",1.92568089230483e-31,1.01297136879858,0.184,0.024,3.80764882835435e-27,"Chir07Ox-b03200.2"
"Chir04Ox-b02300.2",5.90737523833975e-18,0.494976447736351,0.144,0.024,1.16806530587692e-13,"Chir04Ox-b02300.2"
"Chir04Ox-b02290.2",1.90363505930828e-16,0.259491204452565,0.136,0.024,3.76405760277026e-12,"Chir04Ox-b02290.2"
"Chir03Ox-b15410.2",2.46314652392687e-10,0.2508467511597,0.112,0.024,4.8703796217606e-06,"Chir03Ox-b15410.2"
"Chir06Ox-b09400.2",6.46236509165644e-109,2.32361332801531,0.336,0.025,1.27780344957323e-104,"Chir06Ox-b09400.2"
"Chir06Ox-b16750.2",3.17451955028429e-19,0.894065419768145,0.152,0.025,6.27697750677713e-15,"Chir06Ox-b16750.2"
"Chir03Ox-b23630.2",6.17555079530625e-42,0.337831102195734,0.224,0.027,1.2210916587559e-37,"Chir03Ox-b23630.2"
"Chir07Ox-b34760.2",2.28828683885421e-37,0.354660848776675,0.224,0.03,4.52462956646644e-33,"Chir07Ox-b34760.2"
"Chir01Ox-b27850.2",1.6836664073452e-19,0.845395688469276,0.168,0.03,3.32911358724367e-15,"Chir01Ox-b27850.2"
"Chir06Ox-b18260.2",6.99578715742239e-44,0.278332427080808,0.248,0.031,1.38327699463713e-39,"Chir06Ox-b18260.2"
"Chir04Ox-b26260.2",4.5860070335373e-11,0.255186873980466,0.136,0.032,9.06791170741329e-07,"Chir04Ox-b26260.2"
"Chir06Ox-b09460.2",8.10070371648554e-44,0.520333715236933,0.256,0.033,1.60175214586069e-39,"Chir06Ox-b09460.2"
"Chir06Ox-b33630.2",3.20804892786389e-09,0.505949131751187,0.128,0.033,6.34327514506526e-05,"Chir06Ox-b33630.2"
"Chir02Ox-b16410.2",2.72974532118759e-49,0.633797127541795,0.272,0.034,5.39752542358422e-45,"Chir02Ox-b16410.2"
"Chir02Ox-b24710.2",8.96916949151929e-24,0.325745319740813,0.2,0.035,1.77347388355811e-19,"Chir02Ox-b24710.2"
"Chir04Ox-b19600.2",8.14203973089432e-13,1.24530766600927,0.152,0.035,1.60992551598973e-08,"Chir04Ox-b19600.2"
"Chir05Ox-b14670.2",1.94438171036732e-133,1.15279312710841,0.448,0.036,3.8446259559093e-129,"Chir05Ox-b14670.2"
"Chir08Ox-b08770.2",1.54450832523551e-57,0.432107381544831,0.312,0.038,3.05395631148817e-53,"Chir08Ox-b08770.2"
"Chir03Ox-b34380.2",1.20841720267447e-54,0.581570330777335,0.304,0.038,2.38940333484823e-50,"Chir03Ox-b34380.2"
"Chir01Ox-b34820.2",1.37403714574329e-11,0.403740861027003,0.152,0.038,2.7168836482782e-07,"Chir01Ox-b34820.2"
"Chir05Ox-b27850.2",9.51559284620261e-09,0.264452397823579,0.136,0.038,0.000188151817347964,"Chir05Ox-b27850.2"
"Chir06Ox-b13450.2",9.55522742826746e-06,0.349202773224024,0.112,0.038,0.188935511939132,"Chir06Ox-b13450.2"
"Chir01Ox-b11440.2",4.03245558774583e-105,1.54551720648022,0.416,0.039,7.97337443364982e-101,"Chir01Ox-b11440.2"
"Chir02Ox-b11350.2",7.66628755287214e-34,1.20004710271095,0.256,0.041,1.51585503782941e-29,"Chir02Ox-b11350.2"
"Chir08Ox-b07590.2",7.52419693779429e-14,0.311938126958896,0.176,0.042,1.48775946051007e-09,"Chir08Ox-b07590.2"
"Chir06Ox-b17360.2",9.11791398825893e-12,0.337719963106036,0.168,0.043,1.80288513289844e-07,"Chir06Ox-b17360.2"
"Chir05Ox-b16080.2",0.000155312374462938,0.303398034322807,0.112,0.043,1,"Chir05Ox-b16080.2"
"Chir01Ox-b11980.2",1.76426931494415e-38,0.478278011924484,0.28,0.044,3.48848971643907e-34,"Chir01Ox-b11980.2"
"Chir04Ox-b26280.2",3.7952520206197e-47,0.3168341842711,0.312,0.045,7.50435182037133e-43,"Chir04Ox-b26280.2"
"Chir04Ox-b21430.2",5.16276357533187e-18,0.746854395075129,0.208,0.045,1.02083324175037e-13,"Chir04Ox-b21430.2"
"Chir07Ox-b09390.2",1.44236905085721e-23,0.791040463541134,0.232,0.046,2.85199632425995e-19,"Chir07Ox-b09390.2"
"Chir04Ox-b25860.2",7.50887164335553e-14,0.50809939386751,0.184,0.046,1.48472919004069e-09,"Chir04Ox-b25860.2"
"Chir04Ox-b25840.2",1.0616030280339e-08,0.253804990312961,0.152,0.046,0.000209910766733142,"Chir04Ox-b25840.2"
"Chir06Ox-b35730.2",1.07677171034675e-37,0.459502624188529,0.288,0.047,2.12910070286862e-33,"Chir06Ox-b35730.2"
"Chir01Ox-b35290.2",3.70731469296643e-26,0.259847487719897,0.248,0.047,7.33047334240253e-22,"Chir01Ox-b35290.2"
"Chir01Ox-b42060.2",6.66545676804816e-24,0.303436497602434,0.24,0.048,1.31796076674616e-19,"Chir01Ox-b42060.2"
"Chir02Ox-b14650.2",1.20561194807035e-35,0.339765445820582,0.288,0.049,2.38385650491951e-31,"Chir02Ox-b14650.2"
"Chir06Ox-b37110.2",6.1806198222048e-31,0.294720475882224,0.272,0.049,1.22209395744455e-26,"Chir06Ox-b37110.2"
"Chir08Ox-b26670.2",1.53462921153354e-15,0.416130366544452,0.2,0.049,3.03442233996527e-11,"Chir08Ox-b26670.2"
"Chir03Ox-b16250.2",3.24763738830865e-11,0.69596069883834,0.184,0.052,6.4215534079027e-07,"Chir03Ox-b16250.2"
"Chir03Ox-b02660.2",1.27430858150294e-89,0.96305918078129,0.448,0.053,2.51969035820576e-85,"Chir03Ox-b02660.2"
"Chir01Ox-b00880.2",1.93078716938736e-41,0.466831977701787,0.32,0.053,3.81774547002962e-37,"Chir01Ox-b00880.2"
"Chir03Ox-b00890.2",8.46770273605013e-30,0.410287585734936,0.28,0.053,1.67431886199919e-25,"Chir03Ox-b00890.2"
"Chir04Ox-b09050.2",5.28088956056378e-15,0.330904906281723,0.208,0.053,1.04419029281028e-10,"Chir04Ox-b09050.2"
"Chir03Ox-b10430.2",4.38440766390581e-14,0.44750823749021,0.208,0.054,8.66928927384095e-10,"Chir03Ox-b10430.2"
"Chir04Ox-b20970.2",5.75836388886287e-117,0.865824296671692,0.52,0.055,1.13860129174486e-112,"Chir04Ox-b20970.2"
"Chir07Ox-b35760.2",1.91641763435456e-66,1.43807961341257,0.4,0.055,3.78933258840927e-62,"Chir07Ox-b35760.2"
"Chir06Ox-b17210.2",8.37153292278227e-46,0.494674333402,0.344,0.055,1.65530320482174e-41,"Chir06Ox-b17210.2"
"Chir08Ox-b27410.2",1.88653546169692e-34,0.703615894832253,0.304,0.056,3.73024656841331e-30,"Chir08Ox-b27410.2"
"Chir06Ox-b32210.2",2.66445008761865e-21,0.54675901632792,0.248,0.056,5.26841715824836e-17,"Chir06Ox-b32210.2"
"Chir04Ox-b11780.2",0.00112097490299312,0.260931384808226,0.12,0.056,1,"Chir04Ox-b11780.2"
"Chir02Ox-b08950.2",4.13194996541109e-114,1.37951921984692,0.528,0.057,8.17010466660734e-110,"Chir02Ox-b08950.2"
"Chir07Ox-b33820.2",8.67122870638359e-08,0.379608964161212,0.168,0.058,0.00171456205211323,"Chir07Ox-b33820.2"
"Chir07Ox-b25260.2",6.77136492255618e-19,0.440714471939186,0.248,0.059,1.33890198613703e-14,"Chir07Ox-b25260.2"
"Chir02Ox-b20860.2",4.13545228440648e-17,0.387522803799183,0.24,0.061,8.17702980195693e-13,"Chir02Ox-b20860.2"
"Chir03Ox-b31670.2",1.60043788366334e-13,0.802771722858332,0.216,0.061,3.16454582736752e-09,"Chir03Ox-b31670.2"
"Chir08Ox-b11550.2",5.95458233135296e-09,0.426731412831691,0.184,0.061,0.000117739956437842,"Chir08Ox-b11550.2"
"Chir03Ox-b28630.2",3.21092669203892e-30,0.32530687977894,0.304,0.063,6.34896534816857e-26,"Chir03Ox-b28630.2"
"Chir08Ox-b16470.2",2.42199117190343e-16,0.698094786475298,0.24,0.063,4.78900314420465e-12,"Chir08Ox-b16470.2"
"Chir07Ox-b35240.2",1.27678272173514e-21,0.408988093313025,0.272,0.064,2.52458247568689e-17,"Chir07Ox-b35240.2"
"Chir04Ox-b21270.2",3.76621346124838e-20,0.300361968148784,0.264,0.064,7.44693387692643e-16,"Chir04Ox-b21270.2"
"Chir06Ox-b10000.2",2.97519771877546e-90,1.36800923391923,0.504,0.065,5.88285844933471e-86,"Chir06Ox-b10000.2"
"Chir07Ox-b04970.2",3.90047728132895e-24,0.414748991329963,0.288,0.065,7.71241372837174e-20,"Chir07Ox-b04970.2"
"Chir07Ox-b34420.2",3.74285164563026e-114,0.957196870147748,0.568,0.066,7.40074055890471e-110,"Chir07Ox-b34420.2"
"Chir07Ox-b19300.2",1.38477610167749e-15,0.459990201733801,0.24,0.066,2.7381177858469e-11,"Chir07Ox-b19300.2"
"Chir04Ox-b11890.2",2.19978749652004e-15,0.32831328825067,0.24,0.066,4.34963981686907e-11,"Chir04Ox-b11890.2"
"Chir06Ox-b35360.2",5.96562828010107e-14,0.344309670682967,0.232,0.066,1.17958367982438e-09,"Chir06Ox-b35360.2"
"Chir05Ox-b15790.2",0.00133197201579604,0.263982609287866,0.136,0.066,1,"Chir05Ox-b15790.2"
"Chir05Ox-b02030.2",1.54450521185592e-39,0.847575859227175,0.36,0.067,3.05395015540271e-35,"Chir05Ox-b02030.2"
"Chir01Ox-b09790.2",1.40081297076376e-22,0.274415834949409,0.288,0.067,2.76982748709118e-18,"Chir01Ox-b09790.2"
"Chir07Ox-b09460.2",1.27673756316604e-10,0.679628362651016,0.208,0.067,2.52449318364821e-06,"Chir07Ox-b09460.2"
"Chir03Ox-b19330.2",1.3624472844771e-47,0.460494568626705,0.392,0.068,2.69396701559656e-43,"Chir03Ox-b19330.2"
"Chir03Ox-b32100.2",6.10591980010516e-24,0.255020933804342,0.296,0.068,1.20732352207479e-19,"Chir03Ox-b32100.2"
