"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
"Chir01Ox-b05710.2",2.95268866595157e-20,1.05858475317213,0.102,0.005,5.83835129918604e-16,"Chir01Ox-b05710.2"
"Chir04Ox-b19970.2",9.65641043357598e-12,0.997765635946898,0.102,0.009,1.90936203503098e-07,"Chir04Ox-b19970.2"
"Chir08Ox-b18130.2",4.71064723854211e-14,0.287186818706167,0.143,0.014,9.31436278476932e-10,"Chir08Ox-b18130.2"
"Chir08Ox-b23420.2",1.11180837329418e-08,0.396753267384772,0.143,0.023,0.000219837869651457,"Chir08Ox-b23420.2"
"Chir06Ox-b09400.2",0.000645935715906769,2.07733084435547,0.102,0.026,1,"Chir06Ox-b09400.2"
"Chir02Ox-b22040.2",2.62766150390749e-128,3.25171930742037,0.653,0.034,5.19567509167628e-124,"Chir02Ox-b22040.2"
"Chir06Ox-b25450.2",0.0104307587226715,0.670456985737962,0.102,0.036,1,"Chir06Ox-b25450.2"
"Chir01Ox-b31990.2",0.000723606458047187,0.324653352233631,0.143,0.046,1,"Chir01Ox-b31990.2"
"Chir03Ox-b09330.2",0.107027980221808,0.559832098734646,0.102,0.054,1,"Chir03Ox-b09330.2"
"Chir05Ox-b15500.2",1.91206767668437e-06,0.260514993596042,0.245,0.074,0.0378073141710801,"Chir05Ox-b15500.2"
"Chir07Ox-b27100.2",0.0694616862993561,0.265644715647274,0.143,0.08,1,"Chir07Ox-b27100.2"
"Chir05Ox-b18300.2",0.000805036906276396,0.367844681723322,0.224,0.092,1,"Chir05Ox-b18300.2"
"Chir01Ox-b24450.2",0.0166126154994456,0.609334395923858,0.184,0.092,1,"Chir01Ox-b24450.2"
"Chir02Ox-b01960.2",0.743033194051633,0.358826756629256,0.102,0.093,1,"Chir02Ox-b01960.2"
"Chir02Ox-b12050.2",0.00526607891738168,0.516315777103211,0.204,0.095,1,"Chir02Ox-b12050.2"
"Chir03Ox-b05170.2",0.479255658624183,1.9752033821296,0.122,0.098,1,"Chir03Ox-b05170.2"
"Chir04Ox-b10900.2",1.53404983363237e-06,0.433305839902086,0.878,0.577,0.0303327673604128,"Chir04Ox-b10900.2"
