"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
"Chir08Ox-b28480.2",0.000773072374453827,0.321328651853147,0.135,0,1,"Chir08Ox-b28480.2"
"Chir06Ox-b13540.2",0.00111449335156023,0.532387859702111,0.156,0.013,1,"Chir06Ox-b13540.2"
"Chir03Ox-b10260.2",0.00252615199458916,0.261555987552185,0.167,0.026,1,"Chir03Ox-b10260.2"
"Chir02Ox-b11350.2",0.00396166719580464,0.335784522199776,0.156,0.026,1,"Chir02Ox-b11350.2"
"Chir05Ox-b16990.2",0.0101554286209009,0.268304873368657,0.135,0.026,1,"Chir05Ox-b16990.2"
"Chir02Ox-b20830.2",0.0143825112092362,0.27657756344492,0.125,0.026,1,"Chir02Ox-b20830.2"
"Chir02Ox-b23120.2",0.000284528901965916,0.297302733436257,0.229,0.038,1,"Chir02Ox-b23120.2"
"Chir01Ox-b08470.2",0.00136340758106218,0.271780257367777,0.198,0.038,1,"Chir01Ox-b08470.2"
"Chir06Ox-b01800.2",0.00998159103660922,0.406741227902571,0.156,0.038,1,"Chir06Ox-b01800.2"
"Chir01Ox-b13430.2",0.0646452913949268,0.273961126577923,0.115,0.038,1,"Chir01Ox-b13430.2"
"Chir02Ox-b25340.2",0.000794897127072096,0.25348461484497,0.229,0.051,1,"Chir02Ox-b25340.2"
"Chir02Ox-b16020.2",0.00551777289341495,0.322320136866802,0.188,0.051,1,"Chir02Ox-b16020.2"
"Chir05Ox-b22210.2",0.0133750833202872,0.263616296856353,0.177,0.051,1,"Chir05Ox-b22210.2"
"Chir02Ox-b19480.2",0.0826349676787065,0.286879560084385,0.125,0.051,1,"Chir02Ox-b19480.2"
"Chir04Ox-b01680.2",0.134901357206862,0.27803188444703,0.115,0.051,1,"Chir04Ox-b01680.2"
"Chir06Ox-b20940.2",0.018874779450102,0.457020780282446,0.177,0.064,1,"Chir06Ox-b20940.2"
"Chir06Ox-b26800.2",0.0449278508081231,0.376740991021573,0.156,0.064,1,"Chir06Ox-b26800.2"
"Chir04Ox-b11890.2",0.000596717212487227,0.271003681944818,0.271,0.077,1,"Chir04Ox-b11890.2"
"Chir03Ox-b32120.2",0.000268684886091143,0.28153362262178,0.312,0.09,1,"Chir03Ox-b32120.2"
"Chir04Ox-b18150.2",0.0449181345830822,0.254608323995395,0.198,0.09,1,"Chir04Ox-b18150.2"
