"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID"
"Chir01Ox-b34950.2",0.0115863920454595,0.270027598812264,0.111,0,1,"Chir01Ox-b34950.2"
"Chir03Ox-b24710.2",0.0115863920454595,0.402211579280381,0.111,0,1,"Chir03Ox-b24710.2"
"Chir02Ox-b20950.2",0.000425191587256386,0.845277188555576,0.25,0.018,1,"Chir02Ox-b20950.2"
"Chir04Ox-b04250.2",0.00304802176320357,0.584804525058117,0.194,0.018,1,"Chir04Ox-b04250.2"
"Chir08Ox-b14820.2",0.00357121650495574,0.268176857444408,0.194,0.018,1,"Chir08Ox-b14820.2"
"Chir05Ox-b05920.2",0.00417487785473465,0.984060176502859,0.194,0.018,1,"Chir05Ox-b05920.2"
"Chir07Ox-b30550.2",0.00837842404263522,0.436889145128747,0.167,0.018,1,"Chir07Ox-b30550.2"
"Chir06Ox-b21610.2",0.0204583521297975,0.421042735437968,0.139,0.018,1,"Chir06Ox-b21610.2"
"Chir03Ox-b04520.2",0.0225810460553474,0.320541040455044,0.139,0.018,1,"Chir03Ox-b04520.2"
"Chir05Ox-b27180.2",0.000102315864105523,0.362839321243117,0.333,0.036,1,"Chir05Ox-b27180.2"
"Chir06Ox-b20630.2",0.000916526016605148,0.297492915182522,0.278,0.036,1,"Chir06Ox-b20630.2"
"Chir04Ox-b06590.2",0.00116783721897046,0.251148960576506,0.278,0.036,1,"Chir04Ox-b06590.2"
"Chir04Ox-b08700.2",0.00416948077877083,1.21264621572783,0.222,0.036,1,"Chir04Ox-b08700.2"
"Chir02Ox-b20340.2",0.00436862500211678,0.829972725648897,0.222,0.036,1,"Chir02Ox-b20340.2"
"Chir04Ox-b29570.2",0.00525431603436051,0.28392569878552,0.222,0.036,1,"Chir04Ox-b29570.2"
"Chir01Ox-b28220.2",0.00976452027683269,0.767588487614749,0.194,0.036,1,"Chir01Ox-b28220.2"
"Chir01Ox-b17210.2",0.0106793714739082,0.440810508532824,0.194,0.036,1,"Chir01Ox-b17210.2"
"Chir02Ox-b00120.2",0.0121947116522009,0.320308052592146,0.194,0.036,1,"Chir02Ox-b00120.2"
