"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","GO:0015979","photosynthesis","78/410","197/21895",2.1029451299239e-83,2.07560684323489e-80,1.64915170715085e-80,"PSB27/OE23/PSAO/GAPA-2/PnsL2/CP24/NDF6/ATLFNR2/PYG7/AB140/PRK/OHP2/GAPB/Lhca5/NA/AtTLP18.3/ZKT/PSAG/cPGK2/ATFD2/LHCA3/NDF2/RBCS1A/PSBY/CRR23/LIL8/LPA3/LQY1/NA/NA/PSBR/LHCB2/AtPGR5/PSB29/PSBW/FTSH2/LHB1B1/EDA3/PnsL1/ATFER4/CURT1B/CP12/ATBCA1/EMB3119/LHCB4.2/LHCB2/CAB4/OEC33/cfbp1/LHCA1/PDE329/PPL1/SBPASE/NA/AtTKL1/LHCA2/TROL/PETC/ATPC1/PSBQ/ATPD/LHCB5/PAM68/PSBQ/PGR5-LIKE/CRR31/PPH1/FAD6/HCF244/LHCB4.1/FTRA2/PPD5/NA/LHCB3/EMB2728/PSAN/ATLFNR1/MSP-1",78
"GO:0019684","GO:0019684","photosynthesis, light reaction","58/410","128/21895",4.42087269066788e-66,2.1817006728446e-63,1.73344744976188e-63,"PSB27/OE23/PSAO/PnsL2/CP24/NDF6/PYG7/AB140/OHP2/Lhca5/NA/AtTLP18.3/ZKT/PSAG/ATFD2/LHCA3/NDF2/PSBY/CRR23/LIL8/LPA3/LQY1/PSBR/LHCB2/AtPGR5/PSB29/PSBW/FTSH2/LHB1B1/EDA3/CURT1B/LHCB4.2/LHCB2/CAB4/OEC33/cfbp1/LHCA1/PDE329/NA/LHCA2/TROL/PETC/ATPC1/PSBQ/ATPD/LHCB5/PAM68/PSBQ/PGR5-LIKE/CRR31/PPH1/FAD6/HCF244/LHCB4.1/LHCB3/PSAN/ATLFNR1/MSP-1",58
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","71/410","351/21895",1.54765535767839e-52,5.09178612676189e-50,4.04562540866807e-50,"PSB27/OE23/PSAO/PnsL2/CP24/NDF6/PYG7/AB140/FdC2/OHP2/Lhca5/NA/AtTLP18.3/ZKT/PSAG/cPGK2/ATFD2/LHCA3/NDF2/PSBY/CRR23/LIL8/LPA3/LQY1/PSBR/LHCB2/AtPGR5/PSB29/AtFBA1/PSBW/FTSH2/LHB1B1/EDA3/ATPPC2/CSY3/CURT1B/EMB3119/LHCB4.2/PIFI/LHCB2/CAB4/OEC33/cfbp1/LHCA1/PDE329/NA/AtTKL1/LHCA2/TROL/PETC/ATPC1/PSBQ/ATPD/LHCB5/FdC1/PAM68/PSBQ/PGR5-LIKE/CRR31/PPH1/FAD6/HCF244/AtFBA2/LHCB4.1/ADG2/LHCB3/NADP-MDH/EMB2728/PSAN/ATLFNR1/MSP-1",71
"GO:0009767","GO:0009767","photosynthetic electron transport chain","26/410","48/21895",1.02988225024134e-32,2.5412344524705e-30,2.01911125376262e-30,"PSAO/PnsL2/NDF6/PSAG/ATFD2/NDF2/PSBY/CRR23/AtPGR5/FTSH2/CURT1B/OEC33/cfbp1/TROL/PETC/ATPC1/PSBQ/ATPD/PSBQ/PGR5-LIKE/CRR31/PPH1/FAD6/PSAN/ATLFNR1/MSP-1",26
"GO:0015995","GO:0015995","chlorophyll biosynthetic process","26/410","64/21895",1.72175936201973e-28,3.39875298062695e-26,2.70044363095726e-26,"ATCPO-I/POR/ALB-1V/ATCAO/AtHEMA1/ALAD1/NA/HEME2/NTRC/FLU/HEME1/ATG4/ACSF/GUN4/HEMG1/AtCLA1/LIL3:1/CH-42/PORB/HEMC/ABAR/DVR/ATGLK2/LIL3:2/EMB3143/GSA1",26
"GO:0015994","GO:0015994","chlorophyll metabolic process","28/410","87/21895",3.07336506885455e-27,5.05568553826573e-25,4.01694206367831e-25,"ATCPO-I/POR/ALB-1V/ATCAO/AtHEMA1/ALAD1/NA/PSB29/HEME2/NTRC/FLU/HEME1/ATG4/ACSF/GUN4/HEMG1/AtCLA1/LIL3:1/CH-42/PORB/HEMC/ABAR/DVR/CLD1/ATGLK2/LIL3:2/EMB3143/GSA1",28
"GO:0006779","GO:0006779","porphyrin-containing compound biosynthetic process","26/410","71/21895",4.47756379194612e-27,6.31336494664404e-25,5.01621808270656e-25,"ATCPO-I/POR/ALB-1V/ATCAO/AtHEMA1/ALAD1/NA/HEME2/NTRC/FLU/HEME1/ATG4/ACSF/GUN4/HEMG1/AtCLA1/LIL3:1/CH-42/PORB/HEMC/ABAR/DVR/ATGLK2/LIL3:2/EMB3143/GSA1",26
"GO:0022900","GO:0022900","electron transport chain","29/410","101/21895",1.50505892956085e-26,1.74850819494361e-24,1.38925889749159e-24,"PSAO/PnsL2/NDF6/FdC2/PSAG/ATFD2/NDF2/PSBY/CRR23/AtPGR5/FTSH2/CURT1B/PIFI/OEC33/cfbp1/TROL/PETC/ATPC1/PSBQ/ATPD/FdC1/PSBQ/PGR5-LIKE/CRR31/PPH1/FAD6/PSAN/ATLFNR1/MSP-1",29
"GO:0033014","GO:0033014","tetrapyrrole biosynthetic process","26/410","74/21895",1.59438437228901e-26,1.74850819494361e-24,1.38925889749159e-24,"ATCPO-I/POR/ALB-1V/ATCAO/AtHEMA1/ALAD1/NA/HEME2/NTRC/FLU/HEME1/ATG4/ACSF/GUN4/HEMG1/AtCLA1/LIL3:1/CH-42/PORB/HEMC/ABAR/DVR/ATGLK2/LIL3:2/EMB3143/GSA1",26
"GO:0006778","GO:0006778","porphyrin-containing compound metabolic process","28/410","99/21895",1.80872641039412e-25,1.78521296705899e-23,1.41842229025644e-23,"ATCPO-I/POR/ALB-1V/ATCAO/AtHEMA1/ALAD1/NA/PSB29/HEME2/NTRC/FLU/HEME1/ATG4/ACSF/GUN4/HEMG1/AtCLA1/LIL3:1/CH-42/PORB/HEMC/ABAR/DVR/CLD1/ATGLK2/LIL3:2/EMB3143/GSA1",28
