"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009414","GO:0009414","response to water deprivation","68/1283","398/21895",1.27903884079256e-15,2.48517246765994e-12,2.08416013215461e-12,"AtLEA14/AT-PHH1/ATEXO70B2/UGT71C5/ESL1/ERD6/LRK10L1.1/ATP8/ALDH3H1/RD21/ALDH7B4/ATMGL/STMP4/ALDH10A8/ATGSTU19/ATCOR413-PM1/ATSEH/ATGSTF10/PP2CG1/AtPUB23/ATPAL1/PIP2;2/AKR4C9/ATP5CS/CID1/ATMYB2/RGLG1/AtCHC1/ATCYS6/ANAC055/AtTCTP1/ATERF-7/TIC/ATMYB15/AT-POX/ATCML9/AtPIP2;1/ATHB-12/AtATG18a/MASP1/ATDI21/NLP7/NA/ATHVA22D/ATMEK1/ATCIPK6/CER9/ABIG1/NA/RD19/ATPLAT1/ATCIPK14/AtLEA4-5/ATCYS1/Rap2.6L/ZIFL1/AtCor6.6/ATBPM1/ATSTP13/EGR2/RS5/ATCBL9/COR78/ABI2/HAI1/ATSIZ1/ATDI8/SNRK2-3",68
"GO:0001101","GO:0001101","response to acid chemical","68/1283","440/21895",1.97914251989645e-13,1.2818246387196e-10,1.07498688449112e-10,"AtLEA14/AT-PHH1/ATEXO70B2/UGT71C5/ESL1/ERD6/LRK10L1.1/ATP8/ALDH3H1/RD21/ALDH7B4/ATMGL/STMP4/ALDH10A8/ATGSTU19/ATCOR413-PM1/ATSEH/ATGSTF10/PP2CG1/AtPUB23/ATPAL1/PIP2;2/AKR4C9/ATP5CS/CID1/ATMYB2/RGLG1/AtCHC1/ATCYS6/ANAC055/AtTCTP1/ATERF-7/TIC/ATMYB15/AT-POX/ATCML9/AtPIP2;1/ATHB-12/AtATG18a/MASP1/ATDI21/NLP7/NA/ATHVA22D/ATMEK1/ATCIPK6/CER9/ABIG1/NA/RD19/ATPLAT1/ATCIPK14/AtLEA4-5/ATCYS1/Rap2.6L/ZIFL1/AtCor6.6/ATBPM1/ATSTP13/EGR2/RS5/ATCBL9/COR78/ABI2/HAI1/ATSIZ1/ATDI8/SNRK2-3",68
"GO:0016192","GO:0016192","vesicle-mediated transport","64/1283","499/21895",3.05869894997886e-09,1.46341332794714e-06,1.2272740643401e-06,"CKL13/ATEXO70B2/PRA1.E/ATSEC22/KEU/NA/atgos11/FREE1/AUXILIN-LIKE3/p24delta5/ARF1/TNO1/NA/NA/ATSYP61/AERD2/ATEXO70D2/PRA1.F2/CHMP1A/ATSYP52/VPS2.1/SNF7.2/ATVAMP722/NA/ATI1/NA/NA/AtCHC2/ATEXO70H4/VPS60.1/AtCHC1/PRA1.F3/GOM8/ATRAB7B/ARFC1/ckl10/AtPHF1/ATELP/ALPHA-SNAP2/NA/SEC15B/NA/ATSEC1B/AT-RAB2/ATSYP23/ARA-7/CKL6/ckl3/SNF7.1/ATVAMP711/CAP1/AtRABH1c/PRA1.B5/PRA1.A1/PICALM3/ATVTI11/NA/FLS2/ATMEMB12/ATARLB1/AGD5/ckl12/ATEXO70H7/ATSNAP33",64
"GO:0001666","GO:0001666","response to hypoxia","42/1283","266/21895",4.27732455261539e-09,1.46341332794714e-06,1.2272740643401e-06,"NA/NA/AlaAT1/HHO3/AtTEM1/NA/ATGA2OX2/AtSTOP1/NA/ATPME1/ERF74/AtPP2-A11/NA/AtRAV2/FBA6/CID1/ATGSTF5/ATGID1A/BTS/AtEIN3/PRP/AT-POX/ATPSK3/ATMES10/NA/LSD1/ACBP3/ATRMA3/IDF1/NA/AtGILP/NA/DIN10/AtDMR6/AtGDPD2/NA/NA/BBX29/AtXTH22/PROPEP3/NA/cMCU",42
"GO:0071456","GO:0071456","cellular response to hypoxia","39/1283","239/21895",5.92566591193028e-09,1.46341332794714e-06,1.2272740643401e-06,"NA/NA/AlaAT1/HHO3/AtTEM1/NA/ATGA2OX2/AtSTOP1/NA/ATPME1/AtPP2-A11/NA/AtRAV2/FBA6/CID1/ATGSTF5/ATGID1A/BTS/PRP/AT-POX/ATPSK3/ATMES10/NA/ACBP3/ATRMA3/IDF1/NA/AtGILP/NA/DIN10/AtDMR6/AtGDPD2/NA/NA/BBX29/AtXTH22/PROPEP3/NA/cMCU",39
"GO:0036293","GO:0036293","response to decreased oxygen levels","42/1283","270/21895",6.72298695398156e-09,1.46341332794714e-06,1.2272740643401e-06,"NA/NA/AlaAT1/HHO3/AtTEM1/NA/ATGA2OX2/AtSTOP1/NA/ATPME1/ERF74/AtPP2-A11/NA/AtRAV2/FBA6/CID1/ATGSTF5/ATGID1A/BTS/AtEIN3/PRP/AT-POX/ATPSK3/ATMES10/NA/LSD1/ACBP3/ATRMA3/IDF1/NA/AtGILP/NA/DIN10/AtDMR6/AtGDPD2/NA/NA/BBX29/AtXTH22/PROPEP3/NA/cMCU",42
"GO:0070482","GO:0070482","response to oxygen levels","42/1283","271/21895",7.5147965164179e-09,1.46341332794714e-06,1.2272740643401e-06,"NA/NA/AlaAT1/HHO3/AtTEM1/NA/ATGA2OX2/AtSTOP1/NA/ATPME1/ERF74/AtPP2-A11/NA/AtRAV2/FBA6/CID1/ATGSTF5/ATGID1A/BTS/AtEIN3/PRP/AT-POX/ATPSK3/ATMES10/NA/LSD1/ACBP3/ATRMA3/IDF1/NA/AtGILP/NA/DIN10/AtDMR6/AtGDPD2/NA/NA/BBX29/AtXTH22/PROPEP3/NA/cMCU",42
"GO:0036294","GO:0036294","cellular response to decreased oxygen levels","39/1283","241/21895",7.53172067908977e-09,1.46341332794714e-06,1.2272740643401e-06,"NA/NA/AlaAT1/HHO3/AtTEM1/NA/ATGA2OX2/AtSTOP1/NA/ATPME1/AtPP2-A11/NA/AtRAV2/FBA6/CID1/ATGSTF5/ATGID1A/BTS/PRP/AT-POX/ATPSK3/ATMES10/NA/ACBP3/ATRMA3/IDF1/NA/AtGILP/NA/DIN10/AtDMR6/AtGDPD2/NA/NA/BBX29/AtXTH22/PROPEP3/NA/cMCU",39
"GO:0071453","GO:0071453","cellular response to oxygen levels","39/1283","241/21895",7.53172067908977e-09,1.46341332794714e-06,1.2272740643401e-06,"NA/NA/AlaAT1/HHO3/AtTEM1/NA/ATGA2OX2/AtSTOP1/NA/ATPME1/AtPP2-A11/NA/AtRAV2/FBA6/CID1/ATGSTF5/ATGID1A/BTS/PRP/AT-POX/ATPSK3/ATMES10/NA/ACBP3/ATRMA3/IDF1/NA/AtGILP/NA/DIN10/AtDMR6/AtGDPD2/NA/NA/BBX29/AtXTH22/PROPEP3/NA/cMCU",39
"GO:0009651","GO:0009651","response to salt stress","60/1283","485/21895",3.60434233657539e-08,6.36657923633271e-06,5.33925544212316e-06,"AtSOD1/ESL1/ERD6/RHA2A/TNO1/ATP8/AtSTOP1/ALDH3H1/AtNCL/ALDH7B4/SNRK2-10/DWA3/AtMYB20/ALDH10A8/SKIP/VQ9/ATWRKY25/PP2CG1/PIP2;2/AKR4C9/CYT1/ATP5CS/BGLU15/ATMYB2/AFP4/BGLU25/ATCHIP/CIPK1/GABA-T/ATMYB15/SIZ1/ATBT2/ATCML9/AtPIP2;1/ATHB-12/AtATG18a/ATMPK4/AtACER/AtCDPK6/ATHVA22D/ATCIPK6/ATVAMP711/RD19/ATPLAT1/ATPDX1/ATCIPK14/SIS/NA/IDL6/AtTudor1/Rap2.6L/ATBPM1/TIP1/ATSTP13/ASKalpha/AtbZIP1/COR78/AtTudor2/RZFP/SNRK2-3",60
