"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0102336","GO:0102336","3-oxo-arachidoyl-CoA synthase activity","8/756","23/21875",6.06519716015494e-07,7.26307359928554e-05,6.19288552142136e-05,"KCS1/AtCER6/KCS8/FDH/KCS12/KCS16/KCS19/KCS20",8
"GO:0102337","GO:0102337","3-oxo-cerotoyl-CoA synthase activity","8/756","23/21875",6.06519716015494e-07,7.26307359928554e-05,6.19288552142136e-05,"KCS1/AtCER6/KCS8/FDH/KCS12/KCS16/KCS19/KCS20",8
"GO:0102338","GO:0102338","3-oxo-lignoceronyl-CoA synthase activity","8/756","23/21875",6.06519716015494e-07,7.26307359928554e-05,6.19288552142136e-05,"KCS1/AtCER6/KCS8/FDH/KCS12/KCS16/KCS19/KCS20",8
"GO:0102756","GO:0102756","very-long-chain 3-ketoacyl-CoA synthase activity","8/756","23/21875",6.06519716015494e-07,7.26307359928554e-05,6.19288552142136e-05,"KCS1/AtCER6/KCS8/FDH/KCS12/KCS16/KCS19/KCS20",8
"GO:0044769","GO:0044769","ATPase activity, coupled to transmembrane movement of ions, rotational mechanism","7/756","22/21875",6.20300137715212e-06,0.000495206276609311,0.0004222393919886,"ATVHA-C/ATVHA-C2/VHA-E3/VHA-A/NA/NA/emb2448",7
"GO:0046961","GO:0046961","proton-transporting ATPase activity, rotational mechanism","7/756","22/21875",6.20300137715212e-06,0.000495206276609311,0.0004222393919886,"ATVHA-C/ATVHA-C2/VHA-E3/VHA-A/NA/NA/emb2448",7
"GO:0009678","GO:0009678","pyrophosphate hydrolysis-driven proton transmembrane transporter activity","9/756","45/21875",1.94519996403249e-05,0.00133107254681652,0.00113494373841294,"ATVHA-C/ATVHA-C2/VHA-E3/VHA-A/NA/NA/emb2448/VAG2/AHA2",9
"GO:0005507","GO:0005507","copper ion binding","19/756","191/21875",3.71227035384597e-05,0.00222272187436528,0.00189521170696347,"ANN1/SKS6/ACO2/cICDH/sks5/ALDH5F1/ATGSTF7/ATGSTF10/BGLU23/ATMT-1/JAL31/JAL34/ATGSKB6/AtFBA8/AtSAM2/ATFP6/ATCIMS/AAT2/sks17",19
"GO:0019829","GO:0019829","ATPase-coupled cation transmembrane transporter activity","10/756","61/21875",4.19050435331203e-05,0.00223027953915163,0.00190165577670768,"ATVHA-C/ATVHA-C2/VHA-E3/VHA-A/NA/NA/emb2448/VAG2/AHA2/ACA2",10
"GO:0008289","GO:0008289","lipid binding","23/756","269/21875",6.59100697148059e-05,0.0031570923393392,0.00269190600519418,"HDG2/ACX3/HDG12/MLP423/LTPG1/NA/ATGLTP1/ANNAT4/PLD/NA/LTPG2/NA/AtCLB/PDF2/ATML1/CAP1/ML3/NA/NA/PLDrp1/FL1/HB-7/AtMAPR5",23
"GO:0051287","GO:0051287","NAD binding","10/756","75/21875",0.000249498912774673,0.00890403545352225,0.00759205747932454,"ATUGD1/cICDH/ALDH5F1/AXS1/GPDHC1/UXS4/UGD2/ATUXS2/UGD3/UDG4",10
"GO:0003996","GO:0003996","acyl-CoA ligase activity","4/756","10/21875",0.000251601254393218,0.00890403545352225,0.00759205747932454,"LACS2/LACS3/CER8/LACS4",4
"GO:0004467","GO:0004467","long-chain fatty acid-CoA ligase activity","4/756","10/21875",0.000251601254393218,0.00890403545352225,0.00759205747932454,"LACS2/LACS3/CER8/LACS4",4
"GO:0042625","GO:0042625","ATPase-coupled ion transmembrane transporter activity","10/756","76/21875",0.000278546685248052,0.00890403545352225,0.00759205747932454,"ATVHA-C/ATVHA-C2/VHA-E3/VHA-A/NA/NA/emb2448/VAG2/AHA2/ACA2",10
"GO:0042626","GO:0042626","ATPase-coupled transmembrane transporter activity","17/756","187/21875",0.00027883200793911,0.00890403545352225,0.00759205747932454,"ABCI18/ATVHA-C/ABCG11/ATVHA-C2/ABCG12/VHA-E3/VHA-A/NA/NA/ABCG32/ABCG34/ABCG19/emb2448/VAG2/ABCB2/AHA2/ACA2",17
"GO:0004029","GO:0004029","aldehyde dehydrogenase (NAD+) activity","4/756","12/21875",0.000561121987128394,0.015583002219669,0.0132869022332306,"ALDH11A3/ALDH1A/ALDH10A9/ALDH3F1",4
"GO:0004030","GO:0004030","aldehyde dehydrogenase [NAD(P)+] activity","4/756","12/21875",0.000561121987128394,0.015583002219669,0.0132869022332306,"ALDH11A3/ALDH1A/ALDH10A9/ALDH3F1",4
"GO:0033218","GO:0033218","amide binding","12/756","114/21875",0.000585582546876913,0.015583002219669,0.0132869022332306,"AERD2/AtRLP17/NA/ER/ATCYP5/ATGSTF7/ATGSTF10/ATGLTP1/NA/ATGSTF5/AtCLB/ROC7",12
"GO:0016614","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","17/756","202/21875",0.000679525148888135,0.0171311866482851,0.0146069671893959,"ATUGD1/NA/cICDH/ATKCR1/EDA17/AtCRL1/GPDHC1/BEN1/UGD2/SDR1/NA/AtBBE19/NA/ATCAD9/UGD3/NA/UDG4",17
"GO:0016616","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","15/756","168/21875",0.000752497931348261,0.0179835553957888,0.015333742431746,"ATUGD1/NA/cICDH/ATKCR1/AtCRL1/GPDHC1/BEN1/UGD2/SDR1/NA/NA/ATCAD9/UGD3/NA/UDG4",15
"GO:0031956","GO:0031956","medium-chain fatty acid-CoA ligase activity","4/756","13/21875",0.000788423096683849,0.0179835553957888,0.015333742431746,"LACS2/LACS3/CER8/LACS4",4
"GO:0005509","GO:0005509","calcium ion binding","20/756","263/21875",0.000869498176159371,0.018678437024097,0.0159262357221176,"AtCRT3/AtCRT1b/ATCDPK1/ANN1/AtNCL/AtCRT1a/ANNAT4/ANN3/ATCRK3/NA/PLD/CML16/ATCML9/ATCCH1/ATCPK4/NA/AtCDPK6/ABI1/ATCNX1/ANNAT2",20
"GO:0004364","GO:0004364","glutathione transferase activity","8/756","59/21875",0.000915506424650608,0.018678437024097,0.0159262357221176,"ATGSTU17/ATGSTU26/ATGSTU13/ATGSTU7/ATGSTF7/ATGSTF10/ATGSTF5/ATGSTU27",8
"GO:0003756","GO:0003756","protein disulfide isomerase activity","5/756","23/21875",0.000974866232990448,0.018678437024097,0.0159262357221176,"ATPDI5/ATPDI6/ATPDI9/ATPDI11/ATPDI1",5
"GO:0016864","GO:0016864","intramolecular oxidoreductase activity, transposing S-S bonds","5/756","23/21875",0.000974866232990448,0.018678437024097,0.0159262357221176,"ATPDI5/ATPDI6/ATPDI9/ATPDI11/ATPDI1",5
"GO:0015399","GO:0015399","primary active transmembrane transporter activity","17/756","210/21875",0.00104754597287836,0.0190491265289382,0.0162423054460565,"ABCI18/ATVHA-C/ABCG11/ATVHA-C2/ABCG12/VHA-E3/VHA-A/NA/NA/ABCG32/ABCG34/ABCG19/emb2448/VAG2/ABCB2/AHA2/ACA2",17
"GO:0015645","GO:0015645","fatty acid ligase activity","4/756","14/21875",0.00107375034714265,0.0190491265289382,0.0162423054460565,"LACS2/LACS3/CER8/LACS4",4
"GO:0042277","GO:0042277","peptide binding","10/756","93/21875",0.00139542758499754,0.0238717790433508,0.0203543572548513,"AERD2/AtRLP17/NA/ER/ATCYP5/ATGSTF7/ATGSTF10/NA/ATGSTF5/ROC7",10
"GO:0008553","GO:0008553","proton-exporting ATPase activity, phosphorylative mechanism","5/756","26/21875",0.00174927927221987,0.0286276250879991,0.0244094462897344,"ATVHA-C/VHA-E3/emb2448/VAG2/AHA2",5
"GO:0016759","GO:0016759","cellulose synthase activity","6/756","38/21875",0.00179296190530266,0.0286276250879991,0.0244094462897344,"ATCSLA03/ATRGP1/ANY1/ATCESA3/CESA5/CESA6",6
"GO:0016760","GO:0016760","cellulose synthase (UDP-forming) activity","5/756","27/21875",0.00208651190110678,0.0322399742138758,0.0274895286122048,"ATRGP1/ANY1/ATCESA3/CESA5/CESA6",5
"GO:0005516","GO:0005516","calmodulin binding","14/756","169/21875",0.00226583065349064,0.033916652594438,0.0289191543932357,"RDA2/ATCDPK1/GAD2/IQM4/ATCRK3/CAMTA6/CBB1/CRK/ATCPK4/AtCDPK6/ATWRKY11/AtIQM1/ACA2/NA",14
"GO:0016620","GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","6/756","43/21875",0.00342221426498299,0.049673958573541,0.0423546773465199,"ALDH5F1/ALDH11A3/ALDH1A/ALDH10A9/ALDH3F1/FAR1",6
"GO:0009922","GO:0009922","fatty acid elongase activity","3/756","10/21875",0.00411274363751071,0.0579413000696362,0.049403855459881,"KCS1/ATTSC13/KCS20",3
"GO:0016853","GO:0016853","isomerase activity","18/756","262/21875",0.00458300770685579,0.062721734045255,0.0534799094815052,"HYD1/ATPDI5/NA/ATPDI6/NA/ATCYP5/ATPDI9/ATPDI11/ATRGP1/GAE6/FKBP15-1/NA/ATPDI1/NA/ATRGP2/FKBP15-2/CPI1/ROC7",18
"GO:0015078","GO:0015078","proton transmembrane transporter activity","12/756","152/21875",0.00661537060079103,0.0880211810494139,0.0750515728978631,"ATVHA-C/ATVHA-C2/AtNCL/VHA-E3/VHA-A/NA/NA/NA/emb2448/VAG2/NA/AHA2",12
"GO:0016829","GO:0016829","lyase activity","21/756","343/21875",0.00853618100876042,0.110508937924223,0.094225838731125,"CER1/AXS2/ATGLX1/ATDPL1/GAD2/EDA17/ATRHM1/AXS1/UXS4/ATCYSD1/ATNIT1/GMD2/AtFBA8/NA/ATUXS2/ACS11/PAS2/ATFC-I/TSBtype2/NA/NA",21
"GO:0008238","GO:0008238","exopeptidase activity","8/756","85/21875",0.00909974895300795,0.114704730223442,0.0978033959492268,"atnudt3/atLAP1/scpl26/scpl25/SCPL7/BRS1/scpl29/scpl35",8
"GO:0004185","GO:0004185","serine-type carboxypeptidase activity","6/756","54/21875",0.0105402901458227,0.127573425241718,0.108775934499036,"scpl26/scpl25/SCPL7/BRS1/scpl29/scpl35",6
"GO:0008092","GO:0008092","cytoskeletal protein binding","19/756","308/21875",0.0111091383953177,0.127573425241718,0.108775934499036,"NET1D/AtWLIM1/Kin7.1/ATMAP70-2/ATMAP70-1/ATMAP65-6/NET4B/WLIM2a/FH2/ATFP8/KICP-02/NodGS/MAP65-2/ATXIH/AtPRF2/NA/ATMAP65-1/AtFIM4/ATEB1",19
"GO:0005543","GO:0005543","phospholipid binding","11/756","144/21875",0.0114919754828484,0.127573425241718,0.108775934499036,"NA/ATGLTP1/ANNAT4/PLD/NA/NA/CAP1/NA/NA/PLDrp1/FL1",11
"GO:0015662","GO:0015662","ion transmembrane transporter activity, phosphorylative mechanism","6/756","56/21875",0.0125082183714377,0.127573425241718,0.108775934499036,"ATVHA-C/VHA-E3/emb2448/VAG2/AHA2/ACA2",6
"GO:0004312","GO:0004312","fatty acid synthase activity","4/756","27/21875",0.0131927857698585,0.127573425241718,0.108775934499036,"KCS1/NA/ATTSC13/KCS20",4
"GO:0019187","GO:0019187","beta-1,4-mannosyltransferase activity","4/756","27/21875",0.0131927857698585,0.127573425241718,0.108775934499036,"ATCSLA03/AtMSR1/ATCSLA09/ATCSLA02",4
"GO:0051753","GO:0051753","mannan synthase activity","4/756","27/21875",0.0131927857698585,0.127573425241718,0.108775934499036,"ATCSLA03/AtMSR1/ATCSLA09/ATCSLA02",4
"GO:0001883","GO:0001883","purine nucleoside binding","10/756","128/21875",0.0134492343840901,0.127573425241718,0.108775934499036,"ARF1/ATSAR1/ARF1A1C/ARA-3/AGG1/ARAC3/TUB6/TUA5/ATARLB1/AtRabE1b",10
"GO:0005525","GO:0005525","GTP binding","10/756","128/21875",0.0134492343840901,0.127573425241718,0.108775934499036,"ARF1/ATSAR1/ARF1A1C/ARA-3/AGG1/ARAC3/TUB6/TUA5/ATARLB1/AtRabE1b",10
"GO:0019001","GO:0019001","guanyl nucleotide binding","10/756","128/21875",0.0134492343840901,0.127573425241718,0.108775934499036,"ARF1/ATSAR1/ARF1A1C/ARA-3/AGG1/ARAC3/TUB6/TUA5/ATARLB1/AtRabE1b",10
"GO:0032550","GO:0032550","purine ribonucleoside binding","10/756","128/21875",0.0134492343840901,0.127573425241718,0.108775934499036,"ARF1/ATSAR1/ARF1A1C/ARA-3/AGG1/ARAC3/TUB6/TUA5/ATARLB1/AtRabE1b",10
"GO:0032561","GO:0032561","guanyl ribonucleotide binding","10/756","128/21875",0.0134492343840901,0.127573425241718,0.108775934499036,"ARF1/ATSAR1/ARF1A1C/ARA-3/AGG1/ARAC3/TUB6/TUA5/ATARLB1/AtRabE1b",10
"GO:0070008","GO:0070008","serine-type exopeptidase activity","6/756","57/21875",0.0135829742950472,0.127573425241718,0.108775934499036,"scpl26/scpl25/SCPL7/BRS1/scpl29/scpl35",6
"GO:0016830","GO:0016830","carbon-carbon lyase activity","9/756","110/21875",0.0140500983584874,0.129423021417605,0.110352999252897,"CER1/AXS2/ATDPL1/GAD2/EDA17/AXS1/UXS4/AtFBA8/ATUXS2",9
"GO:0016860","GO:0016860","intramolecular oxidoreductase activity","6/756","58/21875",0.0147205746836823,0.132879204741454,0.113299926249169,"HYD1/ATPDI5/ATPDI6/ATPDI9/ATPDI11/ATPDI1",6
"GO:0008810","GO:0008810","cellulase activity","4/756","28/21875",0.014980119114903,0.132879204741454,0.113299926249169,"AtGH9C2/AtGH9B7/AtGH9B8/ATGH9A1",4
"GO:0004601","GO:0004601","peroxidase activity","9/756","112/21875",0.0156568376230819,0.133921878954575,0.114188966123229,"APX1/ANN1/TPX1/NA/PLAT2/ATGSTF7/ATPCB/PRXR1/ATPLAT1",9
"GO:0008422","GO:0008422","beta-glucosidase activity","9/756","112/21875",0.0156568376230819,0.133921878954575,0.114188966123229,"BGLU40/BGLU4/BGLU26/BGLU25/NA/BGLU23/BGLU16/ATBG_PPAP/NA",9
"GO:0016018","GO:0016018","cyclosporin A binding","3/756","16/21875",0.0164489327439275,0.138228750602478,0.117861235542823,"NA/ATCYP5/ROC7",3
"GO:0001882","GO:0001882","nucleoside binding","10/756","133/21875",0.0171937865082962,0.13959023283854,0.119022108210864,"ARF1/ATSAR1/ARF1A1C/ARA-3/AGG1/ARAC3/TUB6/TUA5/ATARLB1/AtRabE1b",10
"GO:0032549","GO:0032549","ribonucleoside binding","10/756","133/21875",0.0171937865082962,0.13959023283854,0.119022108210864,"ARF1/ATSAR1/ARF1A1C/ARA-3/AGG1/ARAC3/TUB6/TUA5/ATARLB1/AtRabE1b",10
"GO:0051213","GO:0051213","dioxygenase activity","9/756","115/21875",0.0183142490160103,0.140405101619423,0.119716908973379,"ACO4/ETHE1/ACO2/ATLOX6/JMJ30/NA/ARD1/NA/AtDMR6",9
