"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005840","GO:0005840","ribosome","69/190","390/25124",4.09770997378841e-76,3.52403057745804e-74,2.15668945988864e-74,"RPS15/EMB2784/NA/ATARCA/NA/NA/PRPL34/PRPL11/ARP1/RACK1B/CPN60B/NA/RPS9/emb1473/CS17/NA/NA/NA/PRPL35/NA/CH-CPN60A/PRPL28/EMB3113/RPL40A/NA/NA/RPL16A/NA/AML1/PRPS10/PRPS20/RFC3/RPL36aA/ATL5/RPL15/RPL12-C/NA/RPL9/EMB1080/ATBBC1/NA/NA/RPL24/NA/PRPL17/CYP20-3/NA/EMB3126/PRPL5/RPS18C/NA/NA/emb2726/NA/NA/RPL4/NA/EMB3136/EMB3137/NA/NA/EVR1L1/RPL18C/RPS24B/NA/NA/RPP1.3/RPL24/NA",69
"GO:0044391","GO:0044391","ribosomal subunit","61/190","307/25124",4.00401201139736e-70,1.72172516490087e-68,1.05368737142036e-68,"RPS15/EMB2784/NA/ATARCA/NA/NA/PRPL34/PRPL11/ARP1/RACK1B/NA/RPS9/emb1473/CS17/NA/NA/NA/PRPL35/PRPL28/EMB3113/RPL40A/NA/NA/RPL16A/NA/AML1/PRPS10/PRPS20/RFC3/RPL36aA/ATL5/RPL15/RPL12-C/RPL9/EMB1080/ATBBC1/NA/NA/RPL24/NA/PRPL17/NA/EMB3126/RPS18C/NA/NA/NA/NA/RPL4/NA/EMB3136/EMB3137/NA/NA/EVR1L1/RPL18C/RPS24B/NA/NA/RPP1.3/NA",61
"GO:0022626","GO:0022626","cytosolic ribosome","57/190","320/25124",2.0683312753718e-62,5.9292163227325e-61,3.62865136030141e-61,"RPS15/EMB2784/NA/ATARCA/NA/NA/PRPL11/ARP1/RACK1B/CPN60B/NA/emb1473/CS17/NA/NA/NA/NA/CH-CPN60A/RPL40A/NA/NA/RPL16A/NA/AML1/RFC3/RPL36aA/ATL5/RPL15/NA/EMB1080/ATBBC1/NA/NA/RPL24/NA/PRPL17/CYP20-3/NA/EMB3126/PRPL5/RPS18C/NA/NA/NA/NA/RPL4/NA/EMB3136/NA/NA/EVR1L1/RPL18C/RPS24B/NA/NA/RPP1.3/NA",57
"GO:0015934","GO:0015934","large ribosomal subunit","37/190","177/25124",6.38687787029686e-43,1.37317874211383e-41,8.40378667144324e-42,"EMB2784/NA/NA/PRPL34/PRPL11/ARP1/NA/emb1473/NA/PRPL35/PRPL28/RPL40A/NA/NA/RPL16A/RPL36aA/ATL5/RPL15/RPL12-C/RPL9/ATBBC1/NA/RPL24/NA/PRPL17/NA/EMB3126/NA/NA/NA/NA/RPL4/EMB3136/RPL18C/NA/RPP1.3/NA",37
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit","30/190","139/25124",2.65205468810788e-35,4.56153406354555e-34,2.79163651379776e-34,"NA/NA/PRPL11/ARP1/NA/emb1473/NA/RPL40A/NA/NA/RPL16A/RPL36aA/ATL5/RPL15/ATBBC1/NA/RPL24/NA/PRPL17/NA/EMB3126/NA/NA/NA/NA/RPL4/RPL18C/NA/RPP1.3/NA",30
"GO:0015935","GO:0015935","small ribosomal subunit","24/190","130/25124",1.25651220603361e-26,1.80100082864817e-25,1.10220368950316e-25,"RPS15/ATARCA/NA/RACK1B/RPS9/CS17/NA/NA/EMB3113/NA/AML1/PRPS10/PRPS20/RFC3/EMB1080/NA/RPS18C/NA/EMB3137/NA/NA/EVR1L1/RPS24B/NA",24
"GO:0022627","GO:0022627","cytosolic small ribosomal subunit","19/190","110/25124",1.05055187757212e-20,1.29067802101718e-19,7.89888629753477e-20,"RPS15/ATARCA/NA/RACK1B/CS17/NA/NA/NA/AML1/RFC3/EMB1080/NA/RPS18C/NA/NA/NA/EVR1L1/RPS24B/NA",19
"GO:0009535","GO:0009535","chloroplast thylakoid membrane","22/190","329/25124",8.74234639627558e-15,9.39802237599625e-14,5.75154368176025e-14,"EMB2784/NA/CP22/PSAG/PRPS6/PSRP3/1/EMB3113/LHB1B1/NA/FLU/RPL12-C/PSRP2/CP33/PSRP5/CYP20-3/EMB3126/LIL3:1/ATRBP31/PORB/NA/ATCPN21/NA",22
"GO:0009534","GO:0009534","chloroplast thylakoid","24/190","413/25124",1.11309089948762e-14,1.02062033453622e-13,6.24614647818984e-14,"EMB2784/NA/CP22/PSAG/PRPS6/PSRP3/1/CS17/EMB3113/LHB1B1/NA/FLU/GHS1/RPL12-C/PSRP2/CP33/PSRP5/CYP20-3/EMB3126/LIL3:1/ATRBP31/PORB/NA/ATCPN21/NA",24
"GO:0055035","GO:0055035","plastid thylakoid membrane","22/190","335/25124",1.2680858685675e-14,1.02062033453622e-13,6.24614647818984e-14,"EMB2784/NA/CP22/PSAG/PRPS6/PSRP3/1/EMB3113/LHB1B1/NA/FLU/RPL12-C/PSRP2/CP33/PSRP5/CYP20-3/EMB3126/LIL3:1/ATRBP31/PORB/NA/ATCPN21/NA",22
