"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009753","GO:0009753","response to jasmonic acid","5/29","205/21895",6.77732214424696e-06,0.00180276769036969,0.00104156740322111,"ILL6/AtBBE16/AtJAC1/ATLOX2/JAO2",5
"GO:0009051","GO:0009051","pentose-phosphate shunt, oxidative branch","2/29","14/21895",0.000152630875234229,0.0177527165504574,0.0102568128862952,"PGL2/PGL5",2
"GO:0009611","GO:0009611","response to wounding","4/29","222/21895",0.000200218607711926,0.0177527165504574,0.0102568128862952,"AtBBE16/AtJAC1/ATLOX2/atnudt8",4
"GO:0009625","GO:0009625","response to insect","2/29","32/21895",0.000819713132307675,0.0356634044247652,0.0206048953146645,"ATBG1/CYP79B2",2
"GO:0006098","GO:0006098","pentose-phosphate shunt","2/29","33/21895",0.00087188190401007,0.0356634044247652,0.0206048953146645,"PGL2/PGL5",2
"GO:0006740","GO:0006740","NADPH regeneration","2/29","35/21895",0.000980906995698826,0.0356634044247652,0.0206048953146645,"PGL2/PGL5",2
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","4/29","351/21895",0.0011232864575144,0.0356634044247652,0.0206048953146645,"LHB1B1/PIFI/PGL2/PGL5",4
"GO:0051156","GO:0051156","glucose 6-phosphate metabolic process","2/29","41/21895",0.00134519947824327,0.0356634044247652,0.0206048953146645,"PGL2/PGL5",2
"GO:0045087","GO:0045087","innate immune response","4/29","371/21895",0.00137793174985353,0.0356634044247652,0.0206048953146645,"ILL6/ATBCA1/ATCAD7/CYP79B2",4
"GO:0009620","GO:0009620","response to fungus","4/29","374/21895",0.00141933631701003,0.0356634044247652,0.0206048953146645,"ATBG1/AtTSA1/ATBCA1/ATLOX2",4
"GO:0006739","GO:0006739","NADP metabolic process","2/29","44/21895",0.00154808676105218,0.0356634044247652,0.0206048953146645,"PGL2/PGL5",2
"GO:0006955","GO:0006955","immune response","4/29","387/21895",0.00160887538758339,0.0356634044247652,0.0206048953146645,"ILL6/ATBCA1/ATCAD7/CYP79B2",4
"GO:1901568","GO:1901568","fatty acid derivative metabolic process","2/29","50/21895",0.00199481933287611,0.0401390218146599,0.0231907288679871,"ATLOX2/ATCAD7",2
"GO:0006520","GO:0006520","cellular amino acid metabolic process","4/29","417/21895",0.00211258009550842,0.0401390218146599,0.0231907288679871,"AGT/ASN1/CYP79B2/AtbZIP1",4
"GO:0002376","GO:0002376","immune system process","4/29","428/21895",0.00232190173505069,0.0411750574348989,0.0237893090047299,"ILL6/ATBCA1/ATCAD7/CYP79B2",4
"GO:0009694","GO:0009694","jasmonic acid metabolic process","2/29","56/21895",0.00249547039473832,0.0414871953125245,0.023969649844197,"ILL6/ATLOX2",2
"GO:0009850","GO:0009850","auxin metabolic process","2/29","63/21895",0.00314661309233021,0.0492352401505786,0.028446161701561,"ILL6/CYP79B2",2
"GO:0009749","GO:0009749","response to glucose","2/29","66/21895",0.00344747699343133,0.0509460489029296,0.029434598891285,"ASN1/AtbZIP1",2
"GO:0009746","GO:0009746","response to hexose","2/29","71/21895",0.00397761374679208,0.0556865924550892,0.0321734962344401,"ASN1/AtbZIP1",2
"GO:0034284","GO:0034284","response to monosaccharide","2/29","75/21895",0.00442728382897261,0.0584061137956455,0.0337447274007291,"ASN1/AtbZIP1",2
"GO:0072330","GO:0072330","monocarboxylic acid biosynthetic process","3/29","256/21895",0.00461100898386675,0.0584061137956455,0.0337447274007291,"ATLOX2/ASN1/CYP79B2",3
"GO:0044106","GO:0044106","cellular amine metabolic process","2/29","85/21895",0.0056492367425161,0.0683044078867856,0.0394635676749928,"CYP79B2/AtbZIP1",2
"GO:0050832","GO:0050832","defense response to fungus","3/29","284/21895",0.0061485620249847,0.0708261611120758,0.0409205362974399,"ATBG1/AtTSA1/ATBCA1",3
"GO:1901605","GO:1901605","alpha-amino acid metabolic process","3/29","288/21895",0.00639033032590157,0.0708261611120758,0.0409205362974399,"AGT/ASN1/CYP79B2",3
"GO:0009063","GO:0009063","cellular amino acid catabolic process","2/29","97/21895",0.0072958266591119,0.0746419188970679,0.0431251292400947,"ASN1/CYP79B2",2
"GO:0010119","GO:0010119","regulation of stomatal movement","2/29","97/21895",0.0072958266591119,0.0746419188970679,0.0431251292400947,"ATBG1/ATBCA1",2
"GO:0019748","GO:0019748","secondary metabolic process","3/29","363/21895",0.012001185438659,0.0809177827968924,0.0467510735589485,"ATBG1/ATCAD7/CYP79B2",3
"GO:0015976","GO:0015976","carbon utilization","1/29","10/21895",0.0131690580920382,0.0809177827968924,0.0467510735589485,"ATBCA1",1
"GO:0042372","GO:0042372","phylloquinone biosynthetic process","1/29","10/21895",0.0131690580920382,0.0809177827968924,0.0467510735589485,"DHNS",1
"GO:0042374","GO:0042374","phylloquinone metabolic process","1/29","10/21895",0.0131690580920382,0.0809177827968924,0.0467510735589485,"DHNS",1
"GO:0009308","GO:0009308","amine metabolic process","2/29","135/21895",0.0137405595444706,0.0809177827968924,0.0467510735589485,"CYP79B2/AtbZIP1",2
"GO:0006545","GO:0006545","glycine biosynthetic process","1/29","11/21895",0.0144767161827547,0.0809177827968924,0.0467510735589485,"AGT",1
"GO:0009405","GO:0009405","pathogenesis","1/29","11/21895",0.0144767161827547,0.0809177827968924,0.0467510735589485,"NA",1
"GO:0070370","GO:0070370","cellular heat acclimation","1/29","11/21895",0.0144767161827547,0.0809177827968924,0.0467510735589485,"PIFI",1
"GO:0042445","GO:0042445","hormone metabolic process","2/29","142/21895",0.0151215692856485,0.0809177827968924,0.0467510735589485,"ILL6/CYP79B2",2
"GO:0009414","GO:0009414","response to water deprivation","3/29","398/21895",0.0153483513159072,0.0809177827968924,0.0467510735589485,"ATBG1/ATLOX2/CYP79B2",3
"GO:0009684","GO:0009684","indoleacetic acid biosynthetic process","1/29","12/21895",0.0157827011594824,0.0809177827968924,0.0467510735589485,"CYP79B2",1
"GO:0009415","GO:0009415","response to water","3/29","408/21895",0.0163924998242065,0.0809177827968924,0.0467510735589485,"ATBG1/ATLOX2/CYP79B2",3
"GO:0010118","GO:0010118","stomatal movement","2/29","151/21895",0.0169814781429192,0.0809177827968924,0.0467510735589485,"ATBG1/ATBCA1",2
"GO:0009683","GO:0009683","indoleacetic acid metabolic process","1/29","13/21895",0.017087015086566,0.0809177827968924,0.0467510735589485,"CYP79B2",1
