"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0102336","GO:0102336","3-oxo-arachidoyl-CoA synthase activity","5/306","23/21875",1.41849132324074e-05,0.00100003638288472,0.000862293409654238,"DAISY/KCS3/AtCER6/FDH/KCS20",5
"GO:0102337","GO:0102337","3-oxo-cerotoyl-CoA synthase activity","5/306","23/21875",1.41849132324074e-05,0.00100003638288472,0.000862293409654238,"DAISY/KCS3/AtCER6/FDH/KCS20",5
"GO:0102338","GO:0102338","3-oxo-lignoceronyl-CoA synthase activity","5/306","23/21875",1.41849132324074e-05,0.00100003638288472,0.000862293409654238,"DAISY/KCS3/AtCER6/FDH/KCS20",5
"GO:0102756","GO:0102756","very-long-chain 3-ketoacyl-CoA synthase activity","5/306","23/21875",1.41849132324074e-05,0.00100003638288472,0.000862293409654238,"DAISY/KCS3/AtCER6/FDH/KCS20",5
"GO:0016746","GO:0016746","transferase activity, transferring acyl groups","17/306","404/21875",6.06916941803672e-05,0.00342301155177271,0.00295153291698207,"ATGPAT4/ATGPAT2/DAISY/KCS3/scpl18/AtCER6/NA/ABX45/FDH/BCE2/TBL41/AtPNP-R1/CER2/NA/ATCHS/KCS20/ACLB-2",17
"GO:0016747","GO:0016747","transferase activity, transferring acyl groups other than amino-acyl groups","16/306","371/21875",7.48908746661634e-05,0.00351987110930968,0.00303505123647083,"ATGPAT4/ATGPAT2/DAISY/KCS3/scpl18/AtCER6/NA/ABX45/FDH/BCE2/TBL41/AtPNP-R1/CER2/NA/ATCHS/KCS20",16
"GO:0003996","GO:0003996","acyl-CoA ligase activity","3/306","10/21875",0.000302415342276097,0.0101146830410835,0.00872150721347628,"LACS2/LACS3/CER8",3
"GO:0004467","GO:0004467","long-chain fatty acid-CoA ligase activity","3/306","10/21875",0.000302415342276097,0.0101146830410835,0.00872150721347628,"LACS2/LACS3/CER8",3
"GO:0016854","GO:0016854","racemase and epimerase activity","5/306","43/21875",0.00032280903322607,0.0101146830410835,0.00872150721347628,"ATMUM4/UGE3/NA/ATECI3/ATUGE2",5
"GO:0031956","GO:0031956","medium-chain fatty acid-CoA ligase activity","3/306","13/21875",0.000698641084453819,0.0197016785815977,0.0169880095272455,"LACS2/LACS3/CER8",3
"GO:0015645","GO:0015645","fatty acid ligase activity","3/306","14/21875",0.0008800030143709,0.0225600772775085,0.0194526982124094,"LACS2/LACS3/CER8",3
"GO:0016829","GO:0016829","lyase activity","13/306","343/21875",0.00116090569044015,0.0271308940260643,0.0233939399776814,"ATMUM4/EDA17/ATRHM1/AXS1/FBA6/NA/PLL18/UXS5/NA/ATECI3/PCK1/AtGGCT2;1/CER3",13
"GO:0016857","GO:0016857","racemase and epimerase activity, acting on carbohydrates and derivatives","4/306","34/21875",0.00125071497283275,0.0271308940260643,0.0233939399776814,"ATMUM4/UGE3/NA/ATUGE2",4
"GO:0016614","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","9/306","202/21875",0.00223952518961325,0.0451104359622098,0.0388970164511776,"NA/ATMUM4/EDA17/AtCRL1/NA/AKR4C9/GPDHC1/BEN1/ATCAD9",9
"GO:0016616","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","8/306","168/21875",0.00258317232983565,0.0485636398009102,0.04187458303102,"NA/ATMUM4/AtCRL1/NA/AKR4C9/GPDHC1/BEN1/ATCAD9",8
"GO:0008509","GO:0008509","anion transmembrane transporter activity","12/306","337/21875",0.00296484575054253,0.052255406353312,0.0450578531825871,"CDI3/ABCG11/AATL2/ALMT4/AIT1/ATPHO1/ATNLM2/AAC2/ZIFL1/NA/AtLHT1/NA",12
"GO:0016830","GO:0016830","carbon-carbon lyase activity","6/306","110/21875",0.0045334246865622,0.0736638430113316,0.0635175354073072,"EDA17/AXS1/FBA6/UXS5/PCK1/CER3",6
"GO:0042626","GO:0042626","ATPase-coupled transmembrane transporter activity","8/306","187/21875",0.00494166528742228,0.0736638430113316,0.0635175354073072,"ABCG11/ABCG12/ABCG34/ABCG1/ABCB4/ABCB9/ABCB2/ABCG22",8
"GO:0030570","GO:0030570","pectate lyase activity","3/306","25/21875",0.00496316672771383,0.0736638430113316,0.0635175354073072,"NA/PLL18/NA",3
"GO:0004312","GO:0004312","fatty acid synthase activity","3/306","27/21875",0.00618336736493567,0.087185479845593,0.0751767295421126,"DAISY/NA/KCS20",3
"GO:0005342","GO:0005342","organic acid transmembrane transporter activity","6/306","122/21875",0.00745166630244368,0.0955168135131418,0.082360522290167,"ABCG11/AATL2/AIT1/NA/AtLHT1/NA",6
"GO:0046943","GO:0046943","carboxylic acid transmembrane transporter activity","6/306","122/21875",0.00745166630244368,0.0955168135131418,0.082360522290167,"ABCG11/AATL2/AIT1/NA/AtLHT1/NA",6
"GO:0009922","GO:0009922","fatty acid elongase activity","2/306","10/21875",0.00814976370751351,0.0968631607897801,0.0835214264368765,"DAISY/KCS20",2
"GO:0016405","GO:0016405","CoA-ligase activity","3/306","30/21875",0.00832245632132775,0.0968631607897801,0.0835214264368765,"LACS2/LACS3/CER8",3
"GO:0016860","GO:0016860","intramolecular oxidoreductase activity","4/306","58/21875",0.0088087739874061,0.0968631607897801,0.0835214264368765,"MEE31/ATPDI12/SETH3/ATECI3",4
