"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005789","GO:0005789","endoplasmic reticulum membrane","23/346","293/25124",2.2857854343451e-11,2.68738819267207e-09,2.20208298170418e-09,"ATUTR3/DPMS1/NA/NA/NA/OST1b/ATERDJ2A/OST1a/ATUTR1/ATSPP/NA/ABX45/NA/DAD2/NA/NA/NA/NA/NA/DER1/NA/NA/NA",23
"GO:0042175","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network","23/346","298/25124",3.21842897325996e-11,2.68738819267207e-09,2.20208298170418e-09,"ATUTR3/DPMS1/NA/NA/NA/OST1b/ATERDJ2A/OST1a/ATUTR1/ATSPP/NA/ABX45/NA/DAD2/NA/NA/NA/NA/NA/DER1/NA/NA/NA",23
"GO:0000137","GO:0000137","Golgi cis cisterna","6/346","41/25124",1.95606653107244e-05,0.000739592174382472,0.000606032036997928,"NA/AtVHP2;1/ATVSR3/AT-P4H-2/MANIA/NA",6
"GO:0005768","GO:0005768","endosome","16/346","418/25124",0.000250414556172451,0.00439050501922691,0.00359764041915851,"ATRAB-A2B/AtSCAMP2/NA/ATFUT12/AtVHP2;1/ATVSR3/NA/PRA1.B4/AT-P4H-2/MANIA/VPS28-2/ATHSGBP/NA/ATSNX1/ATRABA4C/NA",16
"GO:0000153","GO:0000153","cytoplasmic ubiquitin ligase complex","3/346","10/25124",0.000289194941386203,0.00439050501922691,0.00359764041915851,"NA/DER1/NA",3
"GO:0008250","GO:0008250","oligosaccharyltransferase complex","3/346","10/25124",0.000289194941386203,0.00439050501922691,0.00359764041915851,"OST1b/OST1a/DAD2",3
"GO:0000139","GO:0000139","Golgi membrane","7/346","105/25124",0.000634556918431731,0.0079730527769515,0.00653322950522341,"AtSCAMP2/ATUTR3/ATUTR1/MANIA/ATHSGBP/UGNT1/ROCK1",7
"GO:0030867","GO:0030867","rough endoplasmic reticulum membrane","3/346","13/25124",0.000668399633995934,0.0079730527769515,0.00653322950522341,"NA/ATERDJ2A/NA",3
"GO:0016021","GO:0016021","integral component of membrane","15/346","421/25124",0.000810709561419545,0.00878876104336728,0.00720163211873777,"NA/ATUTR3/ATERDJ2A/ATUTR1/ATSPP/AHA1/NA/GPT/NA/NA/AtOM47/ATSYP23/DER1/MIC60/ROCK1",15
"GO:0030119","GO:0030119","AP-type membrane coat adaptor complex","3/346","19/25124",0.00213008664431491,0.0209249688000347,0.017146208282411,"AP4E/AP4M/AP4B",3
"GO:0048475","GO:0048475","coated membrane","5/346","69/25124",0.0026307931340909,0.0231232870206937,0.01894754057794,"AP4E/CLC3/AP4M/NA/AP4B",5
"GO:0031225","GO:0031225","anchored component of membrane","11/346","315/25124",0.00453071161388308,0.0343922199781125,0.0281814597992728,"AtENODL8/NA/NA/NA/NA/NA/AGP10/AtENODL2/NA/AGP25/NA",11
